,user_id,item_id,rating
0,196,242,3
1,186,302,3
2,22,377,1
3,244,51,2
4,166,346,1
5,298,474,4
6,115,265,2
7,253,465,5
8,305,451,3
9,6,86,3
10,62,257,2
11,286,1014,5
12,200,222,5
13,210,40,3
14,224,29,3
15,303,785,3
16,122,387,5
17,194,274,2
18,291,1042,4
19,234,1184,2
20,119,392,4
21,167,486,4
22,299,144,4
23,291,118,2
24,308,1,4
25,95,546,2
26,38,95,5
27,102,768,2
28,63,277,4
29,160,234,5
30,50,246,3
31,301,98,4
32,225,193,4
33,290,88,4
34,97,194,3
35,157,274,4
36,181,1081,1
37,278,603,5
38,276,796,1
39,7,32,4
40,10,16,4
41,284,304,4
42,201,979,2
43,276,564,3
44,287,327,5
45,246,201,5
46,242,1137,5
47,249,241,5
48,99,4,5
49,178,332,3
50,251,100,4
51,81,432,2
52,260,322,4
53,25,181,5
54,59,196,5
55,72,679,2
56,87,384,4
57,290,143,5
58,42,423,5
59,292,515,4
60,115,20,3
61,20,288,1
62,201,219,4
63,13,526,3
64,246,919,4
65,138,26,5
66,167,232,1
67,60,427,5
68,57,304,5
69,223,274,4
70,189,512,4
71,243,15,3
72,92,1049,1
73,246,416,3
74,194,165,4
75,241,690,2
76,178,248,4
77,254,1444,3
78,293,5,3
79,127,229,5
80,225,237,5
81,299,229,3
82,225,480,5
83,276,54,3
84,291,144,5
85,222,366,4
86,267,518,5
87,42,403,3
88,11,111,4
89,95,625,4
90,8,338,4
91,162,25,4
92,87,1016,4
93,279,154,5
94,145,275,2
95,119,1153,5
96,62,498,4
97,62,382,3
98,28,209,4
99,135,23,4
100,32,294,3
101,90,382,5
102,286,208,4
103,293,685,3
104,216,144,4
105,166,328,5
106,250,496,4
107,271,132,5
108,160,174,5
109,265,118,4
110,198,498,3
111,42,96,5
112,168,151,5
113,110,307,4
114,58,144,4
115,90,648,4
116,271,346,4
117,62,21,3
118,279,832,3
119,237,514,4
120,94,789,4
121,128,485,3
122,298,317,4
123,44,195,5
124,264,200,5
125,194,385,2
126,72,195,5
127,222,750,5
128,250,264,3
129,41,265,3
130,224,245,3
131,82,135,3
132,262,1147,4
133,293,471,3
134,216,658,3
135,250,140,3
136,59,23,5
137,286,379,5
138,244,815,4
139,7,479,4
140,174,368,1
141,87,274,4
142,194,1211,2
143,82,1134,2
144,13,836,2
145,13,272,4
146,244,756,2
147,305,427,5
148,95,787,2
149,43,14,2
150,299,955,4
151,57,419,3
152,84,405,3
153,269,504,4
154,299,111,3
155,194,466,4
156,160,135,4
157,99,268,3
158,10,486,4
159,259,117,4
160,85,427,3
161,303,919,4
162,213,273,5
163,121,514,3
164,90,98,5
165,49,559,2
166,42,794,3
167,155,323,2
168,68,117,4
169,172,177,4
170,19,4,4
171,268,231,4
172,5,2,3
173,305,117,2
174,44,294,4
175,43,137,4
176,279,1336,1
177,80,466,5
178,254,164,4
179,298,281,3
180,279,1240,1
181,66,298,4
182,18,443,3
183,268,1035,2
184,99,79,4
185,13,98,4
186,26,258,3
187,7,455,4
188,222,755,4
189,200,673,5
190,119,328,4
191,213,172,5
192,276,322,3
193,94,1217,3
194,130,379,4
195,38,328,4
196,160,719,3
197,293,1267,3
198,26,930,2
199,130,216,4
200,92,1079,3
201,256,452,4
202,1,61,4
203,72,48,4
204,56,755,3
205,13,360,4
206,15,405,2
207,92,77,3
208,207,476,2
209,292,174,5
210,232,483,5
211,251,748,2
212,224,26,3
213,181,220,4
214,259,255,4
215,305,471,4
216,52,280,3
217,161,202,5
218,148,408,5
219,125,235,2
220,97,228,5
221,58,1098,4
222,83,234,4
223,90,347,4
224,272,178,5
225,194,181,3
226,125,478,4
227,110,688,1
228,299,14,4
229,151,10,5
230,269,127,4
231,6,14,5
232,54,106,3
233,303,69,5
234,16,944,1
235,301,790,4
236,276,1091,3
237,305,214,2
238,194,1028,2
239,91,323,2
240,87,554,4
241,294,109,4
242,286,171,4
243,200,318,5
244,229,328,1
245,178,568,4
246,303,842,2
247,62,65,4
248,207,591,3
249,92,172,4
250,301,401,4
251,36,339,5
252,70,746,3
253,63,242,3
254,28,201,3
255,279,68,4
256,250,7,4
257,14,98,3
258,299,1018,3
259,194,54,3
260,303,815,3
261,119,237,5
262,295,218,5
263,268,930,2
264,268,2,2
265,66,258,4
266,233,202,5
267,83,623,4
268,214,334,3
269,192,476,2
270,100,344,4
271,268,145,1
272,301,56,4
273,307,89,5
274,234,141,3
275,83,576,4
276,181,264,2
277,297,133,4
278,38,153,5
279,7,382,4
280,264,813,4
281,181,872,1
282,201,146,1
283,85,507,4
284,269,367,3
285,59,468,3
286,286,143,4
287,193,96,1
288,113,595,5
289,292,11,5
290,130,1014,3
291,275,98,4
292,189,520,5
293,219,82,1
294,218,209,5
295,123,427,3
296,119,222,5
297,158,177,4
298,222,118,4
299,302,322,2
300,279,501,3
301,301,79,5
302,181,3,2
303,201,695,1
304,13,198,3
305,1,189,3
306,145,237,5
307,23,385,4
308,201,767,4
309,296,705,5
310,42,546,3
311,33,872,3
312,301,554,3
313,16,64,5
314,95,135,3
315,154,357,4
316,77,484,5
317,296,508,5
318,302,303,2
319,244,673,3
320,222,77,4
321,13,215,5
322,16,705,5
323,270,452,4
324,145,15,2
325,187,64,5
326,200,304,5
327,170,749,5
328,101,829,3
329,184,218,3
330,128,204,4
331,181,1295,1
332,184,153,3
333,1,33,4
334,1,160,4
335,184,321,5
336,54,595,3
337,94,343,4
338,128,508,4
339,23,323,2
340,301,227,3
341,301,191,3
342,112,903,1
343,82,183,3
344,222,724,3
345,218,430,3
346,308,1197,4
347,303,134,5
348,133,751,3
349,215,212,2
350,69,256,5
351,254,662,4
352,276,2,4
353,104,984,1
354,63,1067,3
355,267,410,4
356,13,56,5
357,240,879,3
358,286,237,2
359,294,271,5
360,90,1086,4
361,18,26,4
362,92,229,3
363,308,649,4
364,144,89,3
365,191,302,4
366,59,951,3
367,200,96,5
368,16,197,5
369,61,678,3
370,271,199,4
371,271,709,3
372,142,169,5
373,275,597,3
374,222,151,3
375,87,40,3
376,207,258,4
377,272,1393,2
378,177,333,4
379,207,1115,2
380,299,577,3
381,271,378,4
382,305,425,4
383,49,959,2
384,94,1224,3
385,130,1017,3
386,10,175,3
387,203,321,3
388,191,286,4
389,43,323,3
390,21,558,5
391,197,96,5
392,13,344,2
393,194,66,3
394,234,206,4
395,308,402,4
396,308,640,4
397,269,522,5
398,94,265,4
399,268,62,3
400,272,12,5
401,121,291,3
402,296,20,5
403,134,286,3
404,180,462,5
405,234,612,3
406,104,117,2
407,38,758,1
408,269,845,1
409,7,163,4
410,234,1451,3
411,275,405,2
412,52,250,3
413,102,823,3
414,13,186,4
415,178,731,4
416,236,71,3
417,256,781,5
418,263,176,5
419,244,186,3
420,279,1181,4
421,43,815,4
422,83,78,2
423,151,197,5
424,254,436,2
425,109,631,3
426,297,716,3
427,249,188,4
428,144,699,4
429,301,604,4
430,64,392,3
431,92,501,2
432,222,97,4
433,268,436,3
434,293,135,5
435,213,173,5
436,160,460,2
437,13,498,4
438,59,715,5
439,5,17,4
440,125,163,5
441,174,315,5
442,114,505,3
443,213,515,4
444,23,196,2
445,128,15,4
446,239,56,4
447,181,279,1
448,291,80,4
